dataset_id_internal,resource_id,edit_date,dataset_id,unique_id,dataset_title,resource_title,resource_url,resource_file_type,resource_file_format,tags
10,1,20180627,20180627-10,igss-20180627-10-1-20180627,La couverture par le régime général de l'assurance accident,Evolution du nombre des entreprises affiliées et du total des salaires cotisables,http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab02.xls,remote,xls,"Accidents, affiliation, régime général"
10,2,20180627,20180627-10,igss-20180627-10-2,La couverture par le régime général de l'assurance accident,Evolution du nombre des salariés-unité et des entreprises,http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab03.xls,remote,xls,"Accidents, affiliation, régime général"
11,1,20180627,20180627-11,igss-20180627-11-1,Les accidents reconnus par le régime général de l'assurance accident,Evolution générale des accidents, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab04.xls ,remote,xls,"Accidents, régime général"
11,2,20180627,20180627-11,igss-20180627-11-2,Les accidents reconnus par le régime général de l'assurance accident,Evolution de la fréquence des accidents reconnus, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab07.xls ,remote,xls,"Accidents, régime général, fréquence"
11,3,20180627,20180627-11,igss-20180627-11-3,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le type d'accident, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab08.xls ,remote,xls,"Accidents, régime général, type d'accident"
11,4,20180627,20180627-11,igss-20180627-11-4,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le lieu de travail, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab09.xls ,remote,xls,"Accidents, régime général, lieu de travail"
11,5,20180627,20180627-11,igss-20180627-11-5,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'agent matériel, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab10.xls ,remote,xls,"Accidents, régime général, agent matériel"
11,6,20180627,20180627-11,igss-20180627-11-6,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant l'activité du blessé, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab11.xls ,remote,xls,"Accidents, régime général, activité"
11,7,20180627,20180627-11,igss-20180627-11-7,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant la modalité de la blessure, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab12.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
11,8,20180627,20180627-11,igss-20180627-11-8,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant la nature de la lésion, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab13.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
11,9,20180627,20180627-11,igss-20180627-11-9,Les accidents reconnus par le régime général de l'assurance accident,Répartition des accidents reconnus suivant le siège de la lésion, http://www.isog.public.lu/islux/fileadmin/isssg/xls/AA/AA_2_tab14.xls ,remote,xls,"Accidents, régime général, blessure, lésion"
